图书名字,图书作者,图书出版社,图书评价数,图书推荐指数,图书原价,图书折后价,图书折扣,图书电子书价格,图书出版时间,图书地址,图书图片地址
万物由来科学绘本 写给孩子的科普绘本,项华,项华,256507条评论,,¥33.20,¥42.00,7.9折,,2020-08-01,http://product.dangdang.com/28973600.html,http://img3m0.ddimg.cn/62/10/28973600-1_l_6.jpg
正面管教(修订版),[美] 简·尼尔森,简·尼尔森,1843044条评论,,¥38.00,¥38.00,10.0折,¥4.19,2016-07-01,http://product.dangdang.com/23990140.html,http://img3m0.ddimg.cn/64/6/23990140-1_l_44.jpg
环球国家地理百科全书 套装共10册,王越 主编,王越,24902条评论,,¥77.40,¥199.00,3.9折,¥9.90,2016-06-01,http://product.dangdang.com/23974209.html,http://img3m9.ddimg.cn/72/22/23974209-1_l_22.jpg
DK儿童百科全书(精致版),英国DK出版社,英国DK出版社,4906条评论,,¥52.00,¥98.00,5.3折,,2015-04-01,http://product.dangdang.com/27883595.html,http://img3m5.ddimg.cn/47/25/27883595-1_l_5.jpg
二十四史少年精编版（套装全4册）萃取纯正精华，来自浩如烟海的中,何孝荣,何孝荣,25359条评论,,¥78.00,¥156.00,5.0折,,2020-08-01,http://product.dangdang.com/29120271.html,http://img3m1.ddimg.cn/15/13/29120271-1_l_15.jpg
蛤蟆先生去看心理医生（年销200万册！英国经典心理咨询入门书，知,罗伯特·戴博德，果麦文化 出品,罗伯特·戴博德,712529条评论,,¥19.00,¥38.00,5.0折,¥16.99,2020-07-01,http://product.dangdang.com/28992419.html,http://img3m9.ddimg.cn/71/33/28992419-1_l_45.jpg
薇娅推荐 小学生心理学漫画(全6册)6种心理能力，培养好性格，内心,小禾心理研究所 著；读客文化 出品,小禾心理研究所,67112条评论,,¥98.40,¥196.80,5.0折,¥69.99,2019-12-09,http://product.dangdang.com/28496461.html,http://img3m1.ddimg.cn/4/23/28496461-1_l_19.jpg
走遍中国 图说天下 寻梦之旅,霍晨昕,霍晨昕,348771条评论,,¥22.10,¥29.90,7.4折,,2019-02-01,http://product.dangdang.com/26510848.html,http://img3m8.ddimg.cn/34/15/26510848-1_l_6.jpg
人生海海（麦家重磅力作，莫言、董卿盛赞，连续两年高居畅销榜，,麦家  著 ，新经典  出品,麦家,800071条评论,,¥27.50,¥55.00,5.0折,¥24.99,2019-04-16,http://product.dangdang.com/26921715.html,http://img3m5.ddimg.cn/51/34/26921715-1_l_8.jpg
怪博士与妙博士（百班千人推荐书目）,林世仁 著，薛慧莹 绘,林世仁,9488条评论,,¥16.40,¥32.80,5.0折,,2014-05-01,http://product.dangdang.com/29160162.html,http://img3m2.ddimg.cn/9/18/29160162-1_l_20.jpg
少年读史记（套装全5册）,张嘉骅,张嘉骅,1119098条评论,,¥50.00,¥100.00,5.0折,,2015-09-01,http://product.dangdang.com/23778791.html,http://img3m1.ddimg.cn/80/1/23778791-1_l_27.jpg
杀死一只知更鸟（豆瓣9.2，关于勇气与正义的成长教科书，影响全球,哈珀·李　著  李育超 译,哈珀·李,472018条评论,,¥24.00,¥48.00,5.0折,,2017-02-01,http://product.dangdang.com/24185602.html,http://img3m2.ddimg.cn/1/34/24185602-1_l_25037.jpg
东野圭吾：白夜行（易烊千玺、孟非推荐，东野圭吾作品无冕之王）,[日]东野圭吾 著，新经典 出品,东野圭吾,1867574条评论,,¥29.80,¥59.60,5.0折,¥23.99,2017-08-09,http://product.dangdang.com/25119332.html,http://img3m2.ddimg.cn/62/32/25119332-1_l_15.jpg
千与千寻（宫崎骏作品。日本上映20周年特别纪念！）,(日) 宫崎骏原作,宫崎骏原作,18622条评论,,¥78.00,¥78.00,10.0折,,2021-06-01,http://product.dangdang.com/29254497.html,http://img3m7.ddimg.cn/96/3/29254497-1_l_8.jpg
谈判：如何在博弈中获得更多(第四版)Everything is Negotiable,(英) 盖温·肯尼迪 (Gavin Kennedy),盖温·肯尼迪,257297条评论,,¥22.10,¥45.00,4.9折,¥12.99,2018-04-06,http://product.dangdang.com/25247638.html,http://img3m8.ddimg.cn/64/22/25247638-1_l_19.jpg
月光落在左手上（精装珍藏版）,余秀华  著 ， 新经典  出品,余秀华,76135条评论,,¥29.00,¥58.00,5.0折,¥34.80,2020-09-01,http://product.dangdang.com/29126248.html,http://img3m8.ddimg.cn/52/33/29126248-1_l_11.jpg
乌合之众 : 大众心理研究（群体心理学创始人古斯塔夫·勒庞代表作,(法) 古斯塔夫·勒庞 著，马晓佳 译,古斯塔夫·勒庞,664522条评论,,¥12.20,¥26.00,4.7折,,2018-04-06,http://product.dangdang.com/25246609.html,http://img3m9.ddimg.cn/25/29/25246609-1_l_22.jpg
沟通的方法（别怕，沟通是场无限游戏。得到CEO脱不花为你备好的沟,脱不花 著，得到图书 出品,脱不花,57607条评论,,¥49.00,¥69.00,7.1折,,2021-06-11,http://product.dangdang.com/29251809.html,http://img3m9.ddimg.cn/81/16/29251809-1_l_43.jpg
三体：全三册 刘慈欣代表作，亚洲“雨果奖”获奖作品！,刘慈欣,刘慈欣,1643883条评论,,¥46.50,¥93.00,5.0折,¥39.99,2010-11-01,http://product.dangdang.com/23579654.html,http://img3m4.ddimg.cn/32/35/23579654-1_l_6.jpg
流浪的地球（《三体》作者刘慈欣绚丽想象力之作，大人孩子均可阅,刘慈欣 著，小当当童书馆 出品,刘慈欣,614831条评论,,¥14.20,¥29.00,4.9折,,2018-05-01,http://product.dangdang.com/25259300.html,http://img3m0.ddimg.cn/44/29/25259300-1_l_27.jpg
马尔克斯：百年孤独（50周年纪念版）,加西亚·马尔克斯 著，新经典 出品,加西亚·马尔克斯,1956173条评论,,¥39.60,¥55.00,7.2折,¥25.99,2017-08-01,http://product.dangdang.com/25138856.html,http://img3m6.ddimg.cn/83/20/25138856-1_l_6.jpg
面纱（毛姆关于女性精神觉醒的经典作品，三次改编成电影。2018全,〔英〕毛姆 著，王晋华 译,毛姆,109478条评论,,¥10.50,¥27.00,3.9折,,2019-01-01,http://product.dangdang.com/26445650.html,http://img3m0.ddimg.cn/77/11/26445650-1_l_8.jpg
走遍世界 图说天下 寻梦之旅,王秀莉,王秀莉,116471条评论,,¥22.10,¥29.90,7.4折,,2020-12-01,http://product.dangdang.com/29174191.html,http://img3m1.ddimg.cn/79/24/29174191-1_l_9.jpg
古代人的日常生活（古代的光棍多吗？古人怎么擦屁屁？古人夏天如,讲历史的王老师 著；读客文化 出品,讲历史的王老师,118041条评论,,¥34.90,¥69.90,5.0折,,2020-02-10,http://product.dangdang.com/28509242.html,http://img3m2.ddimg.cn/14/2/28509242-1_l_14.jpg
复活（精装大开本，托尔斯泰三部曲之一，草婴翻译，无删节全译本,〔俄〕列夫·托尔斯泰 著   草婴 译,列夫·托尔斯泰,26515条评论,,¥34.30,¥73.00,4.7折,,2019-10-30,http://product.dangdang.com/28473429.html,http://img3m9.ddimg.cn/39/5/28473429-1_l_14.jpg
钱穆谈中国历史文化：中国历史精神,钱穆,钱穆,108537条评论,,¥12.70,¥26.00,4.9折,,2019-06-06,http://product.dangdang.com/27874588.html,http://img3m8.ddimg.cn/49/9/27874588-1_l_16.jpg
2022亲子日历：给孩子的一日一诗（每天陪孩子朗诵一首诗、认识一,麦与田，麦田时光出品,麦与田,148条评论,,¥39.00,¥118.00,3.3折,,2021-10-01,http://product.dangdang.com/29307175.html,http://img3m5.ddimg.cn/7/30/29307175-1_l_15.jpg
被讨厌的勇气：“自我启发之父”阿德勒的哲学课 岸见一郎,"岸見一郎, 古賀史健",岸見一郎,438683条评论,,¥38.00,¥55.00,6.9折,¥19.90,2020-03-05,http://product.dangdang.com/28518072.html,http://img3m2.ddimg.cn/33/26/28518072-1_l_7.jpg
亲密关系：通往灵魂的桥梁（新版）：杨天真推荐，这本书告诉我们,"（加）克里斯多福·孟 著,博集天卷 出品",克里斯多福·孟,678434条评论,,¥22.50,¥45.00,5.0折,,2019-04-01,http://product.dangdang.com/26490676.html,http://img3m6.ddimg.cn/58/8/26490676-1_l_7.jpg
丰子恺万般滋味，都是生活,丰子恺,丰子恺,552606条评论,,¥16.80,¥42.00,4.0折,,2018-09-01,http://product.dangdang.com/25308985.html,http://img3m5.ddimg.cn/31/23/25308985-1_l_39.jpg
bibi动物园：忍不住想打扰你（当当专享作者签章本，超人气原创治,bibi 园长 著 ， 新经典   出品,bibi,42651条评论,,¥35.20,¥49.00,7.2折,¥29.40,2021-09-01,http://product.dangdang.com/29292818.html,http://img3m8.ddimg.cn/5/29/29292818-1_l_10.jpg
给男孩的情绪管理绘本（套装全5册）,乐凡 段张取艺,乐凡,22003条评论,,¥45.00,¥90.00,5.0折,,2021-03-01,http://product.dangdang.com/29206161.html,http://img3m1.ddimg.cn/72/26/29206161-1_l_14.jpg
世界尽头的咖啡馆（做决定前读一遍，少走弯路！美国57所高校指定,约翰·史崔勒基， 译者 万洁，果麦文化 出品,约翰·史崔勒基,56368条评论,,¥22.50,¥45.00,5.0折,,2019-05-01,http://product.dangdang.com/27869614.html,http://img3m4.ddimg.cn/25/30/27869614-1_l_11.jpg
遥远的救世主（热播电视剧天道原著，即小说《背叛》，畅销遥远的,豆豆,豆豆,209756条评论,,¥24.00,¥48.00,5.0折,,2018-10-09,http://product.dangdang.com/25353527.html,http://img3m7.ddimg.cn/23/17/25353527-1_l_4.jpg
消失的13级台阶（罗翔推荐！荣获日本推理小说至高荣誉江户川乱步,(日)高野和明 著；读客文化 出品,高野和明,186527条评论,,¥21.00,¥42.00,5.0折,¥16.99,2020-04-29,http://product.dangdang.com/28542693.html,http://img3m3.ddimg.cn/3/5/28542693-1_l_11.jpg
中国少年儿童百科全书(全套共10册),贺晓兴,贺晓兴,6519条评论,,¥96.70,¥248.00,3.9折,,2016-09-15,http://product.dangdang.com/24034434.html,http://img3m4.ddimg.cn/6/11/24034434-1_l_10.jpg
皮特猫·3~6岁好性格养成书：第一辑（共6册）（乐观、积极、开朗,(美)艾瑞克·利温等 著；彭懿等译；读客文化 出品,艾瑞克·利温,262207条评论,,¥69.90,¥139.90,5.0折,,2018-07-01,http://product.dangdang.com/25298374.html,http://img3m4.ddimg.cn/13/31/25298374-1_l_22.jpg
这世界很烦，但你要很可爱（只要你可爱，这个世界也会变得可爱）,杨红 著,杨红,27621条评论,,¥23.00,¥46.00,5.0折,¥13.90,2020-12-31,http://product.dangdang.com/29196710.html,http://img3m0.ddimg.cn/26/10/29196710-1_l_21.jpg
你当像鸟飞往你的山（中文版销量超200万册，比尔·盖茨年度特别推,塔拉 · 韦斯特弗  著 ， 新经典  出品,塔拉,1201697条评论,,¥34.80,¥59.00,5.9折,¥24.99,2019-11-01,http://product.dangdang.com/28473192.html,http://img3m2.ddimg.cn/0/27/28473192-1_l_11.jpg
我身边的植物朋友（全三册）,（法）埃米莉?瓦斯特 著，邢培健 译,埃米莉,1538条评论,,¥101.50,¥114.00,8.9折,,2018-07-01,http://product.dangdang.com/25352997.html,http://img3m7.ddimg.cn/87/5/25352997-1_l_1.jpg
云边有个小卖部（陆定昊诚挚推荐，随书附赠云边镇四季明信片和张,"张嘉佳 著,博集天卷 出品",张嘉佳,1242173条评论,,¥28.70,¥42.00,6.8折,¥9.99,2018-07-01,http://product.dangdang.com/25295369.html,http://img3m9.ddimg.cn/77/23/25295369-1_l_37.jpg
神奇校车·桥梁书版（全20册）,乔安娜柯尔　著 布鲁斯迪根 图　施芳　译,乔安娜柯尔,1256697条评论,,¥75.00,¥150.00,5.0折,,2014-04-01,http://product.dangdang.com/23444350.html,http://img3m0.ddimg.cn/61/3/23444350-1_l_45.jpg
次第花开 修订版,希阿荣博堪布,希阿荣博堪布,446682条评论,,¥19.90,¥39.80,5.0折,¥16.99,2017-02-01,http://product.dangdang.com/24184084.html,http://img3m4.ddimg.cn/67/33/24184084-1_l_9.jpg
心安即是归处（季羡林百年生命智慧。央视《朗读者》多次动情朗读,季羡林 著，文通天下 出品,季羡林,242326条评论,,¥24.50,¥49.00,5.0折,¥14.70,2020-08-01,http://product.dangdang.com/28976722.html,http://img3m2.ddimg.cn/16/24/28976722-1_l_43.jpg
埃里希·凯斯特纳作品典藏——两个小洛特,（德) 埃里希·凯斯特纳著 ， 赵夑生 译.,埃里希·凯斯特纳,17346条评论,,¥9.50,¥19.00,5.0折,,2017-03-03,http://product.dangdang.com/24193545.html,http://img3m5.ddimg.cn/24/22/24193545-1_l_4.jpg
古代人的日常生活2（典藏版）（古代房价高吗？古人如何抗疫？古人,讲历史的王老师；读客文化 出品,讲历史的王老师,21747条评论,,¥37.90,¥75.90,5.0折,¥14.99,2021-08-01,http://product.dangdang.com/29288042.html,http://img3m2.ddimg.cn/80/26/29288042-1_l_12.jpg
孩子读得懂的山海经（共3册）神话+神兽+异人国,兰梦醒 ，贺维芳 ，许萍萍 著，青鸟童书 出品,兰梦醒,127200条评论,,¥95.00,¥219.00,4.3折,,2020-11-04,http://product.dangdang.com/29152264.html,http://img3m4.ddimg.cn/31/1/29152264-1_l_52.jpg
非自然死亡：我的法医笔记（法医秦明冠名推荐，15年法医生涯，19,刘晓辉 著，真故图书 出品,刘晓辉,72126条评论,,¥26.00,¥52.00,5.0折,¥15.60,2020-11-30,http://product.dangdang.com/29177689.html,http://img3m9.ddimg.cn/13/7/29177689-1_l_64.jpg
给孩子讲封神演义,赵卓筠,赵卓筠,394条评论,,¥84.00,¥168.00,5.0折,,2020-09-07,http://product.dangdang.com/29247858.html,http://img3m8.ddimg.cn/90/24/29247858-1_l_6.jpg
当世界年纪还小的时候（珍藏版）,于尔克·舒比格,于尔克·舒比格,18086条评论,,¥32.50,¥88.00,3.7折,,2017-07-01,http://product.dangdang.com/25149450.html,http://img3m0.ddimg.cn/84/32/25149450-1_l_7.jpg
如何说孩子才会听 怎么听孩子才肯说（全新修订版，涂磊推荐）,（美）玛兹丽施　著，安燕玲　译 青豆书坊 出品,玛兹丽施,914788条评论,,¥32.10,¥36.80,8.7折,,2016-09-01,http://product.dangdang.com/24044642.html,http://img3m2.ddimg.cn/17/7/24044642-1_l_18.jpg
人类群星闪耀时（无删减全译本。《一个陌生女人的来信》作者茨威,〔奥〕斯蒂芬·茨威格 著，潘子力 高中甫 译,斯蒂芬·茨威格,117653条评论,,¥13.70,¥28.00,4.9折,¥1.99,2018-01-15,http://product.dangdang.com/25215595.html,http://img3m5.ddimg.cn/97/21/25215595-1_l_8.jpg
沉思录,马可.奥勒留 青豆书坊 出品,马可.奥勒留,288059条评论,,¥9.00,¥20.00,4.5折,,2008-02-01,http://product.dangdang.com/20086549.html,http://img3m9.ddimg.cn/43/26/20086549-1_l_3.jpg
人间失格（日本小说家太宰治代表作，一个对村上春树影响至深的绝,（日）太宰治　著，杨伟　译,太宰治,2162945条评论,,¥8.80,¥25.00,3.5折,¥4.99,2015-08-01,http://product.dangdang.com/23761145.html,http://img3m5.ddimg.cn/56/4/23761145-1_l_13.jpg
没有街道的城市（亲笔签名版）（中国首位国际安徒生奖得主曹文轩,曹文轩,曹文轩,2250条评论,,¥16.00,¥32.00,5.0折,,2021-05-07,http://product.dangdang.com/29240617.html,http://img3m7.ddimg.cn/76/35/29240617-1_l_6.jpg
学会管自己幼儿版-歪歪兔自控力教育系列绘本（全10册，幼儿园情绪,歪歪兔关键期早教项目组著绘,歪歪兔关键期早教项目组,190096条评论,,¥44.00,¥88.00,5.0折,,2017-06-01,http://product.dangdang.com/25083136.html,http://img3m6.ddimg.cn/1/22/25083136-1_l_21.jpg
纳尼亚传奇(七册套装，豆瓣评分9.1贾氏兄弟译本，78幅媲美西方经,（英）C.S.刘易斯 著 贾文浩 贾文渊 译,C.S.刘易斯,6019条评论,,¥82.30,¥168.00,4.9折,,2020-12-31,http://product.dangdang.com/29176360.html,http://img3m0.ddimg.cn/70/10/29176360-1_l_54.jpg
边城（沈从文代表作）,沈从文,沈从文,177873条评论,,¥15.70,¥32.00,4.9折,¥5.99,2019-04-01,http://product.dangdang.com/26922459.html,http://img3m9.ddimg.cn/3/1/26922459-1_l_17.jpg
小英雄雨来 （新版本，手绘精美插图）,管桦；小当当童书馆出品,管桦,77690条评论,,¥13.10,¥26.80,4.9折,,2019-04-01,http://product.dangdang.com/27869317.html,http://img3m7.ddimg.cn/25/29/27869317-1_l_12.jpg
郑渊洁十二生肖童话全12册,郑渊洁,郑渊洁,3041条评论,,¥100.00,¥200.00,5.0折,,2015-12-01,http://product.dangdang.com/29252675.html,http://img3m5.ddimg.cn/56/31/29252675-1_l_1.jpg
半小时漫画中国史1-5（全5册）（中国史大结局！笑着笑着，大清就,陈磊 著;读客文化 出品,陈磊,42285条评论,,¥109.70,¥219.50,5.0折,,2020-12-31,http://product.dangdang.com/29165521.html,http://img3m1.ddimg.cn/22/12/29165521-1_l_14.jpg
平凡的世界：全三册（全新2021版，茅盾文学奖获奖作品，激励青年,路遥  著 ， 新经典  出品,路遥,905982条评论,,¥98.00,¥138.00,7.1折,¥59.99,2021-06-01,http://product.dangdang.com/29253544.html,http://img3m4.ddimg.cn/34/12/29253544-1_l_14.jpg
半小时漫画青春期：生理篇（从变声长痘到脸红心跳，笑着笑着解决,陈磊·半小时漫画团队 著；读客文化 出品,陈磊·半小时漫画团队,36081条评论,,¥49.00,¥49.00,10.0折,¥12.99,2021-07-30,http://product.dangdang.com/29277698.html,http://img3m8.ddimg.cn/32/5/29277698-1_l_13.jpg
神奇校车·图画书版（全12册，新增科学博览会1册）,"(美)乔安娜柯尔 著 ,(美)布鲁斯·迪根 图",乔安娜柯尔,1623109条评论,,¥99.00,¥198.00,5.0折,,2018-05-10,http://product.dangdang.com/25252408.html,http://img3m8.ddimg.cn/82/19/25252408-1_l_72.jpg
趣说中国史：如果把中国422位皇帝放在一个群里，他们会聊些什么？,趣哥 著,趣哥,168709条评论,,¥24.90,¥49.80,5.0折,,2020-11-01,http://product.dangdang.com/29151341.html,http://img3m1.ddimg.cn/98/3/29151341-1_l_16.jpg
二十四节气自然绘本 让孩子了解自然的瞬息万变 科普百科绘本,肖克之,肖克之,136870条评论,,¥63.10,¥79.90,7.9折,,2020-08-01,http://product.dangdang.com/28987175.html,http://img3m5.ddimg.cn/74/6/28987175-1_l_6.jpg
作家榜经典：月亮与六便士（全新未删节插图珍藏版！毛姆写给年轻,[英] 毛姆 著，作家榜经典 出品，徐淳刚（诗人） 译，大星文化，高更 绘,毛姆,1321089条评论,,¥19.90,¥39.80,5.0折,¥3.99,2017-01-10,http://product.dangdang.com/24175371.html,http://img3m1.ddimg.cn/66/15/24175371-1_l_257.jpg
小动作大健康 付国兵教你轻松养生,付国兵 戴晓晖,付国兵,3525条评论,,¥59.20,¥68.00,8.7折,,2020-09-01,http://product.dangdang.com/29131044.html,http://img3m4.ddimg.cn/96/19/29131044-1_l_9.jpg
大语文那些事儿（全6册）大语文时代，得语文者得天下。字词、作文,赵旭,赵旭,57306条评论,,¥89.10,¥180.00,5.0折,,2020-10-01,http://product.dangdang.com/29194673.html,http://img3m3.ddimg.cn/68/8/29194673-1_l_29.jpg
文城（余华新书，时隔8年重磅归来，《活着》之后又一精彩力作）,余华  著 ， 新经典  出品,余华,245023条评论,,¥29.50,¥59.00,5.0折,¥39.50,2021-03-03,http://product.dangdang.com/29199440.html,http://img3m0.ddimg.cn/83/2/29199440-1_l_22.jpg
全球最美的100个地方 图说天下 国家地理,<图说天下.国家地理系列>编委会,图说天下.国家地理,303194条评论,,¥14.80,¥19.90,7.4折,¥8.00,2012-06-01,http://product.dangdang.com/22790547.html,http://img3m7.ddimg.cn/54/27/22790547-1_l_1.jpg
蟋蟀（手绘精美插图）,任大霖 著；小当当出品,任大霖,9760条评论,,¥12.60,¥25.80,4.9折,,2019-01-01,http://product.dangdang.com/26482583.html,http://img3m3.ddimg.cn/83/18/26482583-1_l_16.jpg
月亮与六便士（精装典藏版，未删节全译+详细详注+12幅高更画作+1,〔英〕毛姆 著 ；苏福忠 译,毛姆,92733条评论,,¥21.20,¥45.00,4.7折,,2019-06-01,http://product.dangdang.com/27874293.html,http://img3m3.ddimg.cn/51/10/27874293-1_l_9.jpg
无声告白（我们终此一生，就是要摆脱他人的期待，找到真正的自己,[美] 伍绮诗（Celeste Ng）；读客文化 出品,伍绮诗,540561条评论,,¥22.50,¥45.00,5.0折,,2015-06-01,http://product.dangdang.com/29300908.html,http://img3m8.ddimg.cn/76/16/29300908-1_l_3.jpg
局外人·鼠疫（诺奖得主加缪两大代表作《局外人》《鼠疫》。翻译,﹝法﹞阿尔贝·加缪（著），李玉民（译）,﹝法﹞阿尔贝·加缪,116515条评论,,¥12.80,¥33.00,3.9折,¥1.99,2018-01-01,http://product.dangdang.com/25203037.html,http://img3m7.ddimg.cn/13/6/25203037-1_l_7.jpg
审判（卡夫卡长篇代表作之一。钱满素、袁华清翻译）,〔奥〕卡夫卡 著；钱满素 袁华清  译,卡夫卡,105099条评论,,¥12.30,¥25.00,4.9折,¥1.99,2018-04-01,http://product.dangdang.com/25246600.html,http://img3m0.ddimg.cn/16/20/25246600-1_l_11.jpg
不一样的卡梅拉手绘本（1-12册）,"（法）克利斯提昂 约里波瓦著郑迪蔚译 ,（法）克利斯提昂 艾利施绘",克利斯提昂,864228条评论,,¥60.00,¥120.00,5.0折,,2013-06-01,http://product.dangdang.com/23257828.html,http://img3m8.ddimg.cn/55/35/23257828-1_l_14.jpg
心理抚养,李玫瑾,李玫瑾,36908条评论,,¥46.80,¥46.80,10.0折,¥45.99,2021-06-01,http://product.dangdang.com/29249369.html,http://img3m9.ddimg.cn/17/18/29249369-1_l_10.jpg
银火箭少年科幻系列·第1辑（8册。“雨果奖”得主、三体作者刘慈,刘慈欣、[英]赫伯特·乔治·威尔斯、[英]玛丽·雪莱等 著，小当当童书馆 出品,刘慈欣,614831条评论,,¥125.40,¥256.00,4.9折,,2018-04-02,http://product.dangdang.com/25259302.html,http://img3m2.ddimg.cn/46/31/25259302-1_l_25.jpg
我爸爸+我妈妈（全2册）——清华附小推荐经典儿童绘本 ！（启发童,〔英〕安东尼?布朗,安东尼,782450条评论,,¥60.00,¥79.60,7.5折,,2019-10-01,http://product.dangdang.com/27913770.html,http://img3m0.ddimg.cn/27/8/27913770-1_l_9.jpg
诸子百家闪耀时（《哲学家们都干了些什么？》作者林欣浩2020年新,林欣浩,林欣浩,4335条评论,,¥22.50,¥45.00,5.0折,,2020-09-01,http://product.dangdang.com/29121313.html,http://img3m3.ddimg.cn/67/19/29121313-1_l_9.jpg
霍乱时期的爱情（《百年孤独》作者马尔克斯传世巨著，展示爱情的,（哥伦比亚）加西亚 · 马尔克斯  著 ， 新经典  出品,哥伦比亚,794708条评论,,¥49.60,¥69.00,7.2折,¥25.70,2020-03-01,http://product.dangdang.com/28522850.html,http://img3m0.ddimg.cn/59/31/28522850-1_l_4.jpg
