图书名字,图书作者,图书出版社,图书评价数,图书推荐指数,图书原价,图书折后价,图书折扣,图书电子书价格,图书出版时间,图书地址,图书图片地址
半小时漫画党史1921—1949（针对青少年研发，给孩子们讲党的故事,"上海人民出版社,半小时漫画团队 编绘；吴波 撰；读客文化 出品",上海人民出版社,49条评论,,¥24.90,¥49.90,5.0折,¥49.90,2021-09-01,http://product.dangdang.com/29303678.html,http://img3m8.ddimg.cn/74/11/29303678-1_l_12.jpg
中华人民共和国民法典（实用版）2021年1月起正式施行  团购电话：,中国法制出版社,中国法制出版社,275889条评论,,¥29.20,¥65.00,4.5折,,2020-06-01,http://product.dangdang.com/28558295.html,http://img3m5.ddimg.cn/62/30/28558295-1_l_7.jpg
致我独一无二的宝贝（联合国秘书长安东尼奥·古特雷斯高度评价，,（美）沙尼·金 著，（瑞士）安娜·霍瓦特 绘，小土大橙子 译,沙尼·金,78583条评论,,¥22.10,¥45.00,4.9折,,2020-10-14,http://product.dangdang.com/29131992.html,http://img3m2.ddimg.cn/54/5/29131992-1_l_21.jpg
山海奇想录:乌有镇历险记（少年中国成长系列，手绘精美插图）,寻麦 著，小当当童书馆 出品,寻麦,4263条评论,,¥13.90,¥27.80,5.0折,,2019-08-01,http://product.dangdang.com/27918784.html,http://img3m4.ddimg.cn/91/27/27918784-1_l_26.jpg
东野圭吾：解忧杂货店（胡歌、王俊凯、刘昊然倾情推荐，简体中文,（日）东野圭吾  著， 新经典  出品,东野圭吾,2428175条评论,,¥29.50,¥59.00,5.0折,¥19.99,2020-09-01,http://product.dangdang.com/29117361.html,http://img3m1.ddimg.cn/75/26/29117361-1_l_11.jpg
东野圭吾：恶意（2016版，东野圭吾四大杰作之一）,东野圭吾 著，娄美莲 译，新经典 出品,东野圭吾,790556条评论,,¥19.70,¥39.50,5.0折,¥26.00,2016-11-01,http://product.dangdang.com/24041704.html,http://img3m4.ddimg.cn/49/29/24041704-1_l_13.jpg
小狗钱钱（附赠免费亲子财商课+理财秘籍思维导图）,博多·舍费尔,博多·舍费尔,246664条评论,,¥19.90,¥39.80,5.0折,,2021-01-20,http://product.dangdang.com/29177871.html,http://img3m1.ddimg.cn/96/4/29177871-1_l_15.jpg
我们的汉字——任溶溶写给孩子的汉字书（百班千人推荐）,任溶溶,任溶溶,20121条评论,,¥17.90,¥38.00,4.7折,,2018-11-01,http://product.dangdang.com/29161515.html,http://img3m5.ddimg.cn/75/2/29161515-1_l_5.jpg
人间词话（王国维先生的代表作，近代较富盛名的词话著作）,王国维　著,王国维,559530条评论,,¥14.00,¥29.80,4.7折,¥0.00,2015-06-01,http://product.dangdang.com/23715237.html,http://img3m7.ddimg.cn/84/13/23715237-1_l_15.jpg
毛泽东选集（全四册，32开）,毛泽东 著,毛泽东,264510条评论,,¥56.70,¥81.00,7.0折,,1991-06-01,http://product.dangdang.com/23413230.html,http://img3m0.ddimg.cn/27/0/23413230-1_l_3.jpg
少年读徐霞客游记（游中国·地理启蒙，全3册）,刘兴诗,刘兴诗,47124条评论,,¥50.00,¥100.00,5.0折,,2020-09-01,http://product.dangdang.com/29122655.html,http://img3m5.ddimg.cn/23/29/29122655-1_l_14.jpg
浮生六记（非常容易读懂原文的版本：详细注解+准确优美直译。获得,（清）沈复 著   梦窗 译注,沈复,132321条评论,,¥16.80,¥35.00,4.8折,,2019-02-01,http://product.dangdang.com/26487694.html,http://img3m4.ddimg.cn/46/23/26487694-1_l_7.jpg
儒林外史(56回全本，内容考证、文字句读全新修订版),吴敬梓,吴敬梓,301013条评论,,¥11.80,¥25.00,4.7折,¥0.00,2015-07-01,http://product.dangdang.com/23733160.html,http://img3m0.ddimg.cn/88/28/23733160-1_l_9.jpg
米小圈脑筋急转弯（第一辑）（套装共4册）,北猫,北猫,596297条评论,,¥31.40,¥64.00,4.9折,,2016-01-01,http://product.dangdang.com/23878838.html,http://img3m8.ddimg.cn/38/0/23878838-1_l_6.jpg
张文鹤护肤指南（皮肤科专家张文鹤20年临床经验总结一本守护全家,张文鹤,张文鹤,125777条评论,,¥65.00,¥65.00,10.0折,¥32.50,2021-04-01,http://product.dangdang.com/29246520.html,http://img3m0.ddimg.cn/39/18/29246520-1_l_30.jpg
在峡江的转弯处：陈行甲人生笔记,陈行甲,陈行甲,44051条评论,,¥24.00,¥48.00,5.0折,,2021-01-26,http://product.dangdang.com/29180001.html,http://img3m1.ddimg.cn/48/25/29180001-1_l_17.jpg
追风筝的人（李雪琴、高圆圆动情推荐，《纽约时报》畅销书榜上榜,[美]卡勒德·胡赛尼（Khaled Hosseini） 著，李继宏 译,卡勒德·胡赛尼,1008939条评论,,¥25.60,¥45.00,5.7折,,2006-05-01,http://product.dangdang.com/29211508.html,http://img3m8.ddimg.cn/73/8/29211508-1_l_20.jpg
米小圈上学记一年级（套装共4册）,北猫,北猫,559979条评论,,¥49.00,¥100.00,4.9折,,2018-04-01,http://product.dangdang.com/25261327.html,http://img3m7.ddimg.cn/91/21/25261327-1_l_12.jpg
半小时漫画历史系列（共7册）中国史1-5+世界史1-2（看半小时漫画,陈磊.半小时漫画团队 著；读客文化 出品,陈磊.半小时漫画团队,156982条评论,,¥154.60,¥309.30,5.0折,,2021-06-30,http://product.dangdang.com/29252849.html,http://img3m9.ddimg.cn/32/20/29252849-1_l_9.jpg
父与子全集（彩色注音版）,卜劳恩,卜劳恩,117514条评论,,¥10.50,¥25.00,4.2折,,2017-12-01,http://product.dangdang.com/25201631.html,http://img3m1.ddimg.cn/92/6/25201631-1_l_4.jpg
瓦尔登湖(珍藏本) 朗读者朗读书目,（美）梭罗    知书达礼  出品,梭罗,581318条评论,,¥11.20,¥28.00,4.0折,,2010-12-01,http://product.dangdang.com/20971873.html,http://img3m3.ddimg.cn/10/14/20971873-1_l_17.jpg
科幻世界·三体(一),刘慈欣，科幻世界出品,刘慈欣,319536条评论,,¥12.20,¥23.00,5.3折,¥12.99,2008-01-01,http://product.dangdang.com/20989573.html,http://img3m3.ddimg.cn/88/28/20989573-1_l_16.jpg
活法,【日】稻盛和夫,稻盛和夫,334424条评论,,¥20.80,¥38.00,5.5折,,2019-11-01,http://product.dangdang.com/28481444.html,http://img3m4.ddimg.cn/35/28/28481444-1_l_9.jpg
父与子全集·拼音故事版（郑渊洁推荐版！1115幅原版漫画高清修复,[德] 埃·奥·卜劳恩 绘，作家榜经典 出品，大星文化,埃·奥·卜劳恩,201300条评论,,¥49.50,¥99.00,5.0折,,2019-11-28,http://product.dangdang.com/28505321.html,http://img3m1.ddimg.cn/53/3/28505321-1_l_54.jpg
华夏万卷 楷书入门6件套 楷书字帖田英章书钢笔字帖成人学生硬笔书,田英章 书,田英章,43027条评论,,¥23.80,¥66.00,3.6折,,2018-12-01,http://product.dangdang.com/29130546.html,http://img3m6.ddimg.cn/93/2/29130546-1_l_13.jpg
米小圈漫画成语（套装共5册）,北猫,北猫,461085条评论,,¥49.00,¥100.00,4.9折,,2020-01-01,http://product.dangdang.com/28519113.html,http://img3m3.ddimg.cn/84/31/28519113-1_l_10.jpg
明朝那些事儿增补版.全集（全新印签版）,当年明月 著,当年明月,337499条评论,,¥393.00,¥405.00,9.7折,¥202.50,2017-05-01,http://product.dangdang.com/29296796.html,http://img3m6.ddimg.cn/23/11/29296796-1_l_12.jpg
简爱（英国女作家夏洛蒂·勃朗特的长篇小说，翻译家宋兆霖未删节,（英）夏洛蒂勃朗特　著，宋兆霖　译,夏洛蒂勃朗特,246124条评论,,¥14.00,¥29.80,4.7折,¥1.99,2015-08-01,http://product.dangdang.com/23752765.html,http://img3m5.ddimg.cn/91/23/23752765-1_l_10.jpg
李佳琦直播推荐 学会爱自己（防性侵，安全意识、行为习惯培养绘本,珊蒂克雷文，茱蒂柏斯玛，佩特拉敏特尔（德），安德烈乌斯塔科夫（德）等,珊蒂克雷文,378706条评论,,¥96.00,¥192.00,5.0折,,2016-02-01,http://product.dangdang.com/23851466.html,http://img3m6.ddimg.cn/89/8/23851466-1_l_46.jpg
信谊世界精选图画书-猜猜我有多爱你,[英] 山姆·麦克布雷尼 著，[英] 安妮塔·婕朗 绘，梅子涵 译,山姆·麦克布雷尼,77264条评论,,¥21.90,¥43.80,5.0折,,2020-09-01,http://product.dangdang.com/29132118.html,http://img3m8.ddimg.cn/81/20/29132118-1_l_15.jpg
也许你该找个人聊聊（继《蛤蟆先生去看心理医生》后，又一个关于,[美]洛莉·戈特利布，译者 张含笑 ，果麦文化 出品,洛莉·戈特利布,16467条评论,,¥34.00,¥68.00,5.0折,¥29.99,2021-06-01,http://product.dangdang.com/29262795.html,http://img3m5.ddimg.cn/78/13/29262795-1_l_9.jpg
暖房子·屁屁侦探系列（套装共6册）,【日】Troll/文、图 甜老虎 黄春琦 译,Troll,75404条评论,,¥52.80,¥96.00,5.5折,,2019-02-01,http://product.dangdang.com/26924156.html,http://img3m6.ddimg.cn/17/33/26924156-1_l_5.jpg
美国儿科学会育儿百科（第7版）,美) 塔尼娅·奥尔特曼,塔尼娅·奥尔特曼,359064条评论,,¥64.80,¥108.00,6.0折,¥32.15,2020-12-01,http://product.dangdang.com/29133667.html,http://img3m7.ddimg.cn/46/15/29133667-1_l_4.jpg
理解人性（成熟不是看懂事情，而是看透人性。）,(奥) 阿德勒 (Alfred Adler) 著，文通天下　出品,阿德勒,47854条评论,,¥17.60,¥46.00,3.8折,¥8.90,2020-02-20,http://product.dangdang.com/28521430.html,http://img3m0.ddimg.cn/25/17/28521430-1_l_11.jpg
大宇宙  和爸妈游太空  给孩子的手绘天文绘本,马劲,马劲,140756条评论,,¥63.10,¥79.90,7.9折,,2020-03-23,http://product.dangdang.com/28526631.html,http://img3m1.ddimg.cn/78/1/28526631-1_l_6.jpg
跟着诗词去旅行 图说天下 寻梦之旅,郝娟菡,郝娟菡,134856条评论,,¥22.10,¥29.90,7.4折,,2019-09-01,http://product.dangdang.com/27942606.html,http://img3m6.ddimg.cn/54/21/27942606-1_l_3.jpg
人间值得（90岁心理医生恒子奶奶写给生活的哲思小书。十点读书、,[日]中村恒子（恒子奶奶）著，紫图图书  出品,中村恒子,509516条评论,,¥23.50,¥49.90,4.7折,¥1.99,2019-09-01,http://product.dangdang.com/27931206.html,http://img3m6.ddimg.cn/39/17/27931206-1_l_576.jpg
月亮和六便士（毛姆代表作之一，全新导读+无删节详注版）,〔英〕毛姆 著  苏福忠 译,毛姆,574159条评论,,¥12.70,¥27.00,4.7折,¥2.99,2017-09-01,http://product.dangdang.com/25126128.html,http://img3m8.ddimg.cn/27/20/25126128-1_l_17.jpg
父与子全集（全彩版。一代幽默大师卜劳恩的爆笑暖心漫画）,[德] 埃·奥·卜劳恩  绘,埃·奥·卜劳恩,129542条评论,,¥17.60,¥36.00,4.9折,¥0.00,2017-04-01,http://product.dangdang.com/25061583.html,http://img3m3.ddimg.cn/30/3/25061583-1_l_12.jpg
小王子（纪念版，李继宏口碑译作，作者基金会官方认证简体中文版,（法）安托万·德·圣埃克苏佩里，译者 李继宏，果麦文化 出品,安托万·德·圣埃克苏佩里,1446287条评论,,¥19.90,¥39.80,5.0折,¥3.00,2018-06-03,http://product.dangdang.com/25298376.html,http://img3m6.ddimg.cn/15/33/25298376-1_l_54.jpg
山茶文具店（陆定昊诚挚推荐，日本畅销作家小川糸备受好评暖心之,"小川糸 著,博集天卷 出品",小川糸,128509条评论,,¥19.40,¥49.80,3.9折,¥7.99,2018-03-31,http://product.dangdang.com/25238317.html,http://img3m7.ddimg.cn/49/25/25238317-1_l_6.jpg
宫西达也“你肯定能行”绘本（全18册）,[日]宫西达也,宫西达也,359167条评论,,¥159.00,¥318.00,5.0折,,2020-10-01,http://product.dangdang.com/29132133.html,http://img3m3.ddimg.cn/96/35/29132133-1_l_17.jpg
这就是物理（函套10册）,约瑟夫·米森（Joseph Midthun） 萨缪·希提（Sam Hiti）,约瑟夫·米森,168252条评论,,¥99.90,¥200.00,5.0折,,2019-07-01,http://product.dangdang.com/27909879.html,http://img3m9.ddimg.cn/96/2/27909879-1_l_9.jpg
"两地书：鲁迅许广平定情之作，裸脊锁线典藏版,《见字如面》重磅推","鲁迅,许广平 著",鲁迅,3164条评论,,¥39.30,¥49.80,7.9折,¥23.88,2020-08-01,http://product.dangdang.com/29137948.html,http://img3m8.ddimg.cn/70/4/29137948-1_l_14.jpg
心灵教科书绘本系列：西兰花先生的理发店（教会孩子：敢于打破常,[日] 福田纯子/著绘 丁虹/译,福田纯子,31151条评论,,¥29.90,¥59.80,5.0折,,2021-01-01,http://product.dangdang.com/29167684.html,http://img3m4.ddimg.cn/7/29/29167684-1_l_28.jpg
双城记（狄更斯经典代表作，逝世150周年纪念版！翻译泰斗宋兆霖权,（英）查尔斯·狄更斯著 宋兆霖译 知书达礼 出品,查尔斯·狄更斯,32276条评论,,¥34.40,¥49.80,6.9折,¥12.88,2020-07-01,http://product.dangdang.com/28990834.html,http://img3m4.ddimg.cn/70/2/28990834-1_l_17.jpg
皮囊（400万册纪念版，直面人生的难题，刻在骨头里的故事，容纳一,蔡崇达，果麦文化 出品,蔡崇达,1206932条评论,,¥24.90,¥49.80,5.0折,¥9.90,2019-05-01,http://product.dangdang.com/27872661.html,http://img3m1.ddimg.cn/3/6/27872661-1_l_31.jpg
沉默的大多数（爱智慧、爱自由、反对愚蠢，读王小波的“上头之选,王小波  著 ， 新经典  出品,王小波,299754条评论,,¥29.50,¥59.00,5.0折,¥29.49,2021-01-01,http://product.dangdang.com/29176568.html,http://img3m8.ddimg.cn/80/33/29176568-1_l_27.jpg
父母的语言：3000万词汇塑造更强大的学习型大脑,[美]达娜·萨斯金德（Dana Suskind），MD 贝丝·萨斯金德（Bet,达娜·萨斯金德,189092条评论,,¥56.50,¥59.00,9.6折,,2021-06-15,http://product.dangdang.com/29252406.html,http://img3m6.ddimg.cn/84/21/29252406-1_l_8.jpg
我的第一本地理启蒙书,郑利强 段虹(绘) 步印童书 出品,郑利强,918807条评论,,¥24.90,¥49.80,5.0折,,2016-06-01,http://product.dangdang.com/23967348.html,http://img3m8.ddimg.cn/42/6/23967348-1_l_18.jpg
改革开放简史（32开）,,人民出版社,条评论,,¥27.20,¥32.00,8.5折,,2021-08-30,http://product.dangdang.com/29294986.html,http://img3m6.ddimg.cn/94/14/29294986-1_l_12.jpg
围城,钱钟书　著,钱钟书,1146217条评论,,¥22.00,¥39.00,5.6折,,1991-02-01,http://product.dangdang.com/22819334.html,http://img3m4.ddimg.cn/32/28/22819334-1_l_3.jpg
地球100神秘地带 图说天下 国家地理,<图说天下国家地理系列>编委会,图说天下国家地理,49095条评论,,¥13.60,¥19.90,6.8折,,2012-06-01,http://product.dangdang.com/22790513.html,http://img3m3.ddimg.cn/20/30/22790513-1_l_2.jpg
橘子不是唯一的水果,（英）珍妮特·温特森  著， 新经典  出品,珍妮特·温特森,179244条评论,,¥24.50,¥49.00,5.0折,¥29.40,2018-04-01,http://product.dangdang.com/25233927.html,http://img3m7.ddimg.cn/15/1/25233927-1_l_2.jpg
非暴力沟通,（美）马歇尔?卢森堡著   阮胤华译,马歇尔,924600条评论,,¥29.40,¥49.00,6.0折,¥5.99,2018-08-31,http://product.dangdang.com/25334272.html,http://img3m2.ddimg.cn/73/2/25334272-1_l_1.jpg
逻辑学入门：清晰思考、理性生活的88个逻辑学常识,格桑,格桑,31390条评论,,¥40.70,¥42.80,9.5折,¥16.99,2020-09-01,http://product.dangdang.com/29125207.html,http://img3m7.ddimg.cn/1/28/29125207-1_l_6.jpg
山月记（如果你很迷茫！自我拉扯！一定要读《山月记》。日本文豪,（日）中岛敦，译者 徐建雄，绘者 撒旦君，果麦文化 出品,中岛敦,140232条评论,,¥22.50,¥45.00,5.0折,¥6.99,2019-02-01,http://product.dangdang.com/26514431.html,http://img3m1.ddimg.cn/53/9/26514431-1_l_20.jpg
断舍离（2019新版，全新修订50%以上内容）宫崎骏、张德芬、李冰冰,"山下英子 著,博集天卷 出品",山下英子,307040条评论,,¥22.50,¥45.00,5.0折,¥11.99,2019-01-11,http://product.dangdang.com/26482259.html,http://img3m9.ddimg.cn/56/27/26482259-1_l_15.jpg
罗生门（芥川龙之介小说集。《人间失格》作者太宰治是芥川的头号,［日］芥川龙之介 著，高慧勤 译,芥川龙之介,430916条评论,,¥14.60,¥31.00,4.7折,¥1.99,2017-12-01,http://product.dangdang.com/25190564.html,http://img3m4.ddimg.cn/14/2/25190564-1_l_7.jpg
活了100万次的猫（珍藏版）,（日）佐野洋子 著,佐野洋子,425350条评论,,¥25.90,¥36.00,7.2折,,2017-04-01,http://product.dangdang.com/25108090.html,http://img3m0.ddimg.cn/7/1/25108090-1_l_23.jpg
故宫六百年（上下册）（去过故宫1000多次的史学大家阎崇年完整讲,阎崇年,阎崇年,69688条评论,,¥69.50,¥139.00,5.0折,,2020-04-30,http://product.dangdang.com/28531652.html,http://img3m2.ddimg.cn/50/27/28531652-1_l_9.jpg
我们仨（新版）,杨绛,杨绛,1503062条评论,,¥21.00,¥28.00,7.5折,,2018-06-01,http://product.dangdang.com/25284154.html,http://img3m4.ddimg.cn/49/19/25284154-1_l_27.jpg
大熊先生盖房子（澳大利亚青少年图书奖获奖作家、加拿大总督奖获,(澳) 珍·戈德温、(澳) 迈克尔·瓦格纳 文，(加) 安德鲁·乔伊纳 图，方素珍 译，小当当童书馆 出品,珍·戈德温,83144条评论,,¥22.10,¥45.00,4.9折,,2017-11-01,http://product.dangdang.com/25183398.html,http://img3m8.ddimg.cn/75/14/25183398-1_l_13.jpg
一九八四（又译“1984”。奥威尔代表作，反乌托邦杰作之一）,"[英]乔治·奥威尔 著,傅霞 译",乔治·奥威尔,202596条评论,,¥15.00,¥32.00,4.7折,¥1.99,2018-02-05,http://product.dangdang.com/25215594.html,http://img3m4.ddimg.cn/96/20/25215594-1_l_11.jpg
古文观止（上下册，原文+导读+注释+翻译，特别适合青少年）,[清]吴楚材，吴调侯 编  钱素洲 译,吴楚材,254342条评论,,¥24.40,¥52.00,4.7折,¥3.99,2016-09-01,http://product.dangdang.com/24021172.html,http://img3m2.ddimg.cn/10/32/24021172-1_l_18.jpg
非常疑犯（“法医笔记”系列重磅新作。《时代周刊》报道的中国法,红眸 著，真故图书 出品,红眸,17511条评论,,¥26.00,¥52.00,5.0折,,2021-08-31,http://product.dangdang.com/29294634.html,http://img3m4.ddimg.cn/39/32/29294634-1_l_20.jpg
理想国（2020全译本，西方哲学的源头，清华大学、北京大学图书馆,（古希腊）柏拉图著  张俊译 知书达礼 出品,柏拉图,8430条评论,,¥38.60,¥56.00,6.9折,¥9.40,2020-07-01,http://product.dangdang.com/28973100.html,http://img3m0.ddimg.cn/57/28/28973100-1_l_9.jpg
让孩子爱上科学的大百科（共6册）趣味实验/游戏/生命/野外探险/天,日本学研社 php研究所 秋山仁等,日本学研社,163100条评论,,¥273.60,¥608.00,4.5折,,2020-09-01,http://product.dangdang.com/29120270.html,http://img3m0.ddimg.cn/14/12/29120270-1_l_9.jpg
【樊登推荐】考试脑科学 脑科学中的高效记忆法（图灵出品）,[日]池谷裕二,池谷裕二,133957条评论,,¥39.80,¥59.80,6.7折,¥29.90,2021-03-01,http://product.dangdang.com/29222270.html,http://img3m0.ddimg.cn/44/3/29222270-1_l_29.jpg
底层逻辑（当当专享签名版， 畅销书作家+青年导师李尚龙、刘媛媛,"吕白 著,博集天卷 出品",吕白,10868条评论,,¥24.00,¥48.00,5.0折,¥29.99,2021-09-01,http://product.dangdang.com/29297030.html,http://img3m0.ddimg.cn/59/23/29297030-1_l_5.jpg
夏天、烟火和我的尸体（张震、田燚推荐。乙一16岁惊世成名作，高,（日）乙一   著，  新经典   出品,乙一,164367条评论,,¥22.50,¥45.00,5.0折,¥21.65,2019-09-01,http://product.dangdang.com/27941986.html,http://img3m6.ddimg.cn/28/30/27941986-1_l_9.jpg
窗边的小豆豆(2018版),（日）黑柳彻子， 爱心树童书  出品,黑柳彻子,1497294条评论,,¥31.20,¥39.50,7.9折,¥35.99,2018-05-01,http://product.dangdang.com/25272786.html,http://img3m6.ddimg.cn/66/10/25272786-1_l_19.jpg
中华人民共和国简史（32开）,,人民出版社,条评论,,¥32.30,¥38.00,8.5折,,2021-08-30,http://product.dangdang.com/29294984.html,http://img3m4.ddimg.cn/92/12/29294984-1_l_3.jpg
写给儿童的中国历史（中国孩子的历史启蒙，真正写给孩子看的中国,陈卫平著 步印童书 出品,陈卫平,942370条评论,,¥177.50,¥355.00,5.0折,,2014-04-01,http://product.dangdang.com/23427436.html,http://img3m6.ddimg.cn/76/35/23427436-1_l_18.jpg
科幻世界·三体(二)黑暗森林,刘慈欣，科幻世界出品,刘慈欣,231418条评论,,¥17.00,¥32.00,5.3折,¥13.99,2008-05-01,http://product.dangdang.com/20974282.html,http://img3m2.ddimg.cn/43/18/20974282-1_l_15.jpg
"西西弗神话（诺贝尔文学奖得主,加缪的荒诞哲学代表作)",（法）阿尔贝·加缪著，李玉民译，知书达礼 出品,阿尔贝·加缪,13989条评论,,¥34.40,¥49.80,6.9折,¥12.88,2020-09-01,http://product.dangdang.com/29134555.html,http://img3m5.ddimg.cn/43/15/29134555-1_l_9.jpg
汪曾祺散文集：万事有心，人间有味（麦家、冯唐、贾平凹等都推崇,汪曾祺 著 时代华语 出品,汪曾祺,110734条评论,,¥21.00,¥42.00,5.0折,¥7.99,2019-04-01,http://product.dangdang.com/27856029.html,http://img3m9.ddimg.cn/3/24/27856029-1_l_22.jpg
罗尔德·达尔作品典藏 了不起的狐狸爸爸,罗尔德·达尔,罗尔德·达尔,625370条评论,,¥7.50,¥15.00,5.0折,¥2.99,2017-05-01,http://product.dangdang.com/25110012.html,http://img3m2.ddimg.cn/48/36/25110012-1_l_26.jpg
阿Q正传（收录鲁迅《阿Q正传》《狂人日记》《药》等17个中短篇小,鲁迅  著,鲁迅,203882条评论,,¥9.40,¥20.00,4.7折,¥0.00,2014-12-01,http://product.dangdang.com/23629643.html,http://img3m3.ddimg.cn/26/0/23629643-1_l_9.jpg
哈利·波特（套装1-7册）《语文》教材推荐阅读书目，外国儿童文学,（英）J.K.罗琳 著； 苏农，马爱农，马爱新 译,J.K.罗琳,368038条评论,,¥346.00,¥438.00,7.9折,¥150.00,2018-11-01,http://product.dangdang.com/25583206.html,http://img3m6.ddimg.cn/22/0/25583206-1_l_3.jpg
终身成长：重新定义成功的思维模式,[美]卡罗尔·德韦克（Carol Dweck) ， 译者：楚祎楠   后浪,卡罗尔·德韦克,261706条评论,,¥24.90,¥49.80,5.0折,¥9.99,2017-11-01,http://product.dangdang.com/25166912.html,http://img3m2.ddimg.cn/23/30/25166912-1_l_36.jpg
余秋雨经典：文化苦旅（30周年纪念版）,余秋雨 著 时代华语 出品,余秋雨,15895条评论,,¥27.40,¥49.80,5.5折,,2019-04-01,http://product.dangdang.com/27854238.html,http://img3m8.ddimg.cn/93/9/27854238-1_l_19.jpg
